PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,Right_LastEditedBy,Right_LastEditedWhen
1053,4,10/1/2020,7,2,10/21/2020,293092,1,NULL,NULL,20,10/2/2020 7:00,4114,77,1627,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1627,6,84,10/2/2020,1,20,10/2/2020 7:00
1053,4,10/1/2020,7,2,10/21/2020,293092,1,NULL,NULL,20,10/2/2020 7:00,4115,78,1746,"""The Gu"" red shirt XML tag t-shirt (White) XS",1746,6,84,10/2/2020,1,20,10/2/2020 7:00
1053,4,10/1/2020,7,2,10/21/2020,293092,1,NULL,NULL,20,10/2/2020 7:00,4116,80,759,"""The Gu"" red shirt XML tag t-shirt (White) M",759,6,84,10/2/2020,1,20,10/2/2020 7:00
1053,4,10/1/2020,7,2,10/21/2020,293092,1,NULL,NULL,20,10/2/2020 7:00,4117,86,1663,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1663,6,96,10/2/2020,1,20,10/2/2020 7:00
1053,4,10/1/2020,7,2,10/21/2020,293092,1,NULL,NULL,20,10/2/2020 7:00,4118,95,865,"""The Gu"" red shirt XML tag t-shirt (Black) XL",865,6,90,10/2/2020,1,20,10/2/2020 7:00
1053,4,10/1/2020,7,2,10/21/2020,293092,1,NULL,NULL,20,10/2/2020 7:00,4119,98,1734,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1734,6,96,10/2/2020,1,20,10/2/2020 7:00
1054,7,10/1/2020,2,2,10/21/2020,BC0280982,1,NULL,NULL,20,10/2/2020 7:00,4120,184,302,Shipping carton (Brown) 305x305x305mm,302,7,47.5,10/2/2020,1,20,10/2/2020 7:00
1054,7,10/1/2020,2,2,10/21/2020,BC0280982,1,NULL,NULL,20,10/2/2020 7:00,4121,193,1143,Black and orange glass with care despatch tape 48mmx75m,1143,7,38.4,10/2/2020,1,20,10/2/2020 7:00
1054,7,10/1/2020,2,2,10/21/2020,BC0280982,1,NULL,NULL,20,10/2/2020 7:00,4122,204,1236,Tape dispenser (Red),1236,7,170,10/2/2020,1,20,10/2/2020 7:00
1055,4,10/2/2020,7,2,10/22/2020,293092,1,NULL,NULL,20,10/3/2020 7:00,4123,77,1625,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1625,6,84,10/3/2020,1,20,10/3/2020 7:00
1055,4,10/2/2020,7,2,10/22/2020,293092,1,NULL,NULL,20,10/3/2020 7:00,4124,78,1744,"""The Gu"" red shirt XML tag t-shirt (White) XS",1744,6,84,10/3/2020,1,20,10/3/2020 7:00
1055,4,10/2/2020,7,2,10/22/2020,293092,1,NULL,NULL,20,10/3/2020 7:00,4125,80,755,"""The Gu"" red shirt XML tag t-shirt (White) M",755,6,84,10/3/2020,1,20,10/3/2020 7:00
1055,4,10/2/2020,7,2,10/22/2020,293092,1,NULL,NULL,20,10/3/2020 7:00,4126,86,1664,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1664,6,96,10/3/2020,1,20,10/3/2020 7:00
1055,4,10/2/2020,7,2,10/22/2020,293092,1,NULL,NULL,20,10/3/2020 7:00,4127,95,881,"""The Gu"" red shirt XML tag t-shirt (Black) XL",881,6,90,10/3/2020,1,20,10/3/2020 7:00
1055,4,10/2/2020,7,2,10/22/2020,293092,1,NULL,NULL,20,10/3/2020 7:00,4128,98,1738,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1738,6,96,10/3/2020,1,20,10/3/2020 7:00
1056,7,10/2/2020,2,2,10/22/2020,BC0280982,1,NULL,NULL,20,10/3/2020 7:00,4129,184,299,Shipping carton (Brown) 305x305x305mm,299,7,47.5,10/3/2020,1,20,10/3/2020 7:00
1056,7,10/2/2020,2,2,10/22/2020,BC0280982,1,NULL,NULL,20,10/3/2020 7:00,4130,193,1145,Black and orange glass with care despatch tape 48mmx75m,1145,7,38.4,10/3/2020,1,20,10/3/2020 7:00
1056,7,10/2/2020,2,2,10/22/2020,BC0280982,1,NULL,NULL,20,10/3/2020 7:00,4131,204,1234,Tape dispenser (Red),1234,7,170,10/3/2020,1,20,10/3/2020 7:00
1057,4,10/3/2020,7,2,10/23/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4132,77,1624,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1624,6,84,10/6/2020,1,4,10/6/2020 7:00
1057,4,10/3/2020,7,2,10/23/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4133,78,1747,"""The Gu"" red shirt XML tag t-shirt (White) XS",1747,6,84,10/6/2020,1,4,10/6/2020 7:00
1057,4,10/3/2020,7,2,10/23/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4134,80,758,"""The Gu"" red shirt XML tag t-shirt (White) M",758,6,84,10/6/2020,1,4,10/6/2020 7:00
1057,4,10/3/2020,7,2,10/23/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4135,86,1662,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1662,6,96,10/6/2020,1,4,10/6/2020 7:00
1057,4,10/3/2020,7,2,10/23/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4136,95,887,"""The Gu"" red shirt XML tag t-shirt (Black) XL",887,6,90,10/6/2020,1,4,10/6/2020 7:00
1057,4,10/3/2020,7,2,10/23/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4137,98,1737,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1737,6,96,10/6/2020,1,4,10/6/2020 7:00
1058,7,10/3/2020,2,2,10/23/2020,BC0280982,1,NULL,NULL,4,10/6/2020 7:00,4138,184,297,Shipping carton (Brown) 305x305x305mm,297,7,47.5,10/6/2020,1,4,10/6/2020 7:00
1058,7,10/3/2020,2,2,10/23/2020,BC0280982,1,NULL,NULL,4,10/6/2020 7:00,4139,193,1143,Black and orange glass with care despatch tape 48mmx75m,1143,7,38.4,10/6/2020,1,4,10/6/2020 7:00
1058,7,10/3/2020,2,2,10/23/2020,BC0280982,1,NULL,NULL,4,10/6/2020 7:00,4140,204,1250,Tape dispenser (Red),1250,7,170,10/6/2020,1,4,10/6/2020 7:00
1059,4,10/4/2020,7,2,10/24/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4141,77,11,"""The Gu"" red shirt XML tag t-shirt (White) XXS",11,6,84,10/6/2020,1,4,10/6/2020 7:00
1059,4,10/4/2020,7,2,10/24/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4142,78,10,"""The Gu"" red shirt XML tag t-shirt (White) XS",10,6,84,10/6/2020,1,4,10/6/2020 7:00
1059,4,10/4/2020,7,2,10/24/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4143,80,3,"""The Gu"" red shirt XML tag t-shirt (White) M",3,6,84,10/6/2020,1,4,10/6/2020 7:00
1059,4,10/4/2020,7,2,10/24/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4144,86,10,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",10,6,96,10/6/2020,1,4,10/6/2020 7:00
1059,4,10/4/2020,7,2,10/24/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4145,95,4,"""The Gu"" red shirt XML tag t-shirt (Black) XL",4,6,90,10/6/2020,1,4,10/6/2020 7:00
1059,4,10/4/2020,7,2,10/24/2020,293092,1,NULL,NULL,4,10/6/2020 7:00,4146,98,10,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",10,6,96,10/6/2020,1,4,10/6/2020 7:00
1060,7,10/4/2020,2,2,10/24/2020,BC0280982,1,NULL,NULL,4,10/6/2020 7:00,4147,184,8,Shipping carton (Brown) 305x305x305mm,8,7,47.5,10/6/2020,1,4,10/6/2020 7:00
1060,7,10/4/2020,2,2,10/24/2020,BC0280982,1,NULL,NULL,4,10/6/2020 7:00,4148,204,2,Tape dispenser (Red),2,7,170,10/6/2020,1,4,10/6/2020 7:00
1061,4,10/6/2020,7,2,10/26/2020,293092,1,NULL,NULL,11,10/7/2020 7:00,4149,77,1662,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1662,6,84,10/7/2020,1,11,10/7/2020 7:00
1061,4,10/6/2020,7,2,10/26/2020,293092,1,NULL,NULL,11,10/7/2020 7:00,4150,78,1755,"""The Gu"" red shirt XML tag t-shirt (White) XS",1755,6,84,10/7/2020,1,11,10/7/2020 7:00
1061,4,10/6/2020,7,2,10/26/2020,293092,1,NULL,NULL,11,10/7/2020 7:00,4151,80,770,"""The Gu"" red shirt XML tag t-shirt (White) M",770,6,84,10/7/2020,1,11,10/7/2020 7:00
1061,4,10/6/2020,7,2,10/26/2020,293092,1,NULL,NULL,11,10/7/2020 7:00,4152,86,1672,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1672,6,96,10/7/2020,1,11,10/7/2020 7:00
1061,4,10/6/2020,7,2,10/26/2020,293092,1,NULL,NULL,11,10/7/2020 7:00,4153,95,887,"""The Gu"" red shirt XML tag t-shirt (Black) XL",887,6,90,10/7/2020,1,11,10/7/2020 7:00
1061,4,10/6/2020,7,2,10/26/2020,293092,1,NULL,NULL,11,10/7/2020 7:00,4154,98,1756,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1756,6,96,10/7/2020,1,11,10/7/2020 7:00
1062,7,10/6/2020,2,2,10/26/2020,BC0280982,1,NULL,NULL,11,10/7/2020 7:00,4155,184,302,Shipping carton (Brown) 305x305x305mm,302,7,47.5,10/7/2020,1,11,10/7/2020 7:00
1062,7,10/6/2020,2,2,10/26/2020,BC0280982,1,NULL,NULL,11,10/7/2020 7:00,4156,193,1144,Black and orange glass with care despatch tape 48mmx75m,1144,7,38.4,10/7/2020,1,11,10/7/2020 7:00
1062,7,10/6/2020,2,2,10/26/2020,BC0280982,1,NULL,NULL,11,10/7/2020 7:00,4157,204,1271,Tape dispenser (Red),1271,7,170,10/7/2020,1,11,10/7/2020 7:00
1063,4,10/7/2020,7,2,10/27/2020,293092,1,NULL,NULL,12,10/8/2020 7:00,4158,77,1660,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1660,6,84,10/8/2020,1,12,10/8/2020 7:00
1063,4,10/7/2020,7,2,10/27/2020,293092,1,NULL,NULL,12,10/8/2020 7:00,4159,78,1758,"""The Gu"" red shirt XML tag t-shirt (White) XS",1758,6,84,10/8/2020,1,12,10/8/2020 7:00
1063,4,10/7/2020,7,2,10/27/2020,293092,1,NULL,NULL,12,10/8/2020 7:00,4160,80,775,"""The Gu"" red shirt XML tag t-shirt (White) M",775,6,84,10/8/2020,1,12,10/8/2020 7:00
1063,4,10/7/2020,7,2,10/27/2020,293092,1,NULL,NULL,12,10/8/2020 7:00,4161,86,1682,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1682,6,96,10/8/2020,1,12,10/8/2020 7:00
1063,4,10/7/2020,7,2,10/27/2020,293092,1,NULL,NULL,12,10/8/2020 7:00,4162,95,883,"""The Gu"" red shirt XML tag t-shirt (Black) XL",883,6,90,10/8/2020,1,12,10/8/2020 7:00
1063,4,10/7/2020,7,2,10/27/2020,293092,1,NULL,NULL,12,10/8/2020 7:00,4163,98,1760,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1760,6,96,10/8/2020,1,12,10/8/2020 7:00
1064,7,10/7/2020,2,2,10/27/2020,BC0280982,1,NULL,NULL,12,10/8/2020 7:00,4164,184,299,Shipping carton (Brown) 305x305x305mm,299,7,47.5,10/8/2020,1,12,10/8/2020 7:00
1064,7,10/7/2020,2,2,10/27/2020,BC0280982,1,NULL,NULL,12,10/8/2020 7:00,4165,193,1142,Black and orange glass with care despatch tape 48mmx75m,1142,7,38.4,10/8/2020,1,12,10/8/2020 7:00
1064,7,10/7/2020,2,2,10/27/2020,BC0280982,1,NULL,NULL,12,10/8/2020 7:00,4166,204,1278,Tape dispenser (Red),1278,7,170,10/8/2020,1,12,10/8/2020 7:00
1065,4,10/8/2020,7,2,10/28/2020,293092,1,NULL,NULL,18,10/9/2020 7:00,4167,77,1662,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1662,6,84,10/9/2020,1,18,10/9/2020 7:00
1065,4,10/8/2020,7,2,10/28/2020,293092,1,NULL,NULL,18,10/9/2020 7:00,4168,78,1762,"""The Gu"" red shirt XML tag t-shirt (White) XS",1762,6,84,10/9/2020,1,18,10/9/2020 7:00
1065,4,10/8/2020,7,2,10/28/2020,293092,1,NULL,NULL,18,10/9/2020 7:00,4169,80,771,"""The Gu"" red shirt XML tag t-shirt (White) M",771,6,84,10/9/2020,1,18,10/9/2020 7:00
1065,4,10/8/2020,7,2,10/28/2020,293092,1,NULL,NULL,18,10/9/2020 7:00,4170,86,1688,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1688,6,96,10/9/2020,1,18,10/9/2020 7:00
1065,4,10/8/2020,7,2,10/28/2020,293092,1,NULL,NULL,18,10/9/2020 7:00,4171,95,880,"""The Gu"" red shirt XML tag t-shirt (Black) XL",880,6,90,10/9/2020,1,18,10/9/2020 7:00
1065,4,10/8/2020,7,2,10/28/2020,293092,1,NULL,NULL,18,10/9/2020 7:00,4172,98,1758,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1758,6,96,10/9/2020,1,18,10/9/2020 7:00
1066,7,10/8/2020,2,2,10/28/2020,BC0280982,1,NULL,NULL,18,10/9/2020 7:00,4173,184,299,Shipping carton (Brown) 305x305x305mm,299,7,47.5,10/9/2020,1,18,10/9/2020 7:00
1066,7,10/8/2020,2,2,10/28/2020,BC0280982,1,NULL,NULL,18,10/9/2020 7:00,4174,193,1147,Black and orange glass with care despatch tape 48mmx75m,1147,7,38.4,10/9/2020,1,18,10/9/2020 7:00
1066,7,10/8/2020,2,2,10/28/2020,BC0280982,1,NULL,NULL,18,10/9/2020 7:00,4175,204,1276,Tape dispenser (Red),1276,7,170,10/9/2020,1,18,10/9/2020 7:00
1067,4,10/9/2020,7,2,10/29/2020,293092,1,NULL,NULL,17,10/10/2020 7:00,4176,77,1670,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1670,6,84,10/10/2020,1,17,10/10/2020 7:00
1067,4,10/9/2020,7,2,10/29/2020,293092,1,NULL,NULL,17,10/10/2020 7:00,4177,78,1769,"""The Gu"" red shirt XML tag t-shirt (White) XS",1769,6,84,10/10/2020,1,17,10/10/2020 7:00
1067,4,10/9/2020,7,2,10/29/2020,293092,1,NULL,NULL,17,10/10/2020 7:00,4178,80,778,"""The Gu"" red shirt XML tag t-shirt (White) M",778,6,84,10/10/2020,1,17,10/10/2020 7:00
1067,4,10/9/2020,7,2,10/29/2020,293092,1,NULL,NULL,17,10/10/2020 7:00,4179,86,1691,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1691,6,96,10/10/2020,1,17,10/10/2020 7:00
1067,4,10/9/2020,7,2,10/29/2020,293092,1,NULL,NULL,17,10/10/2020 7:00,4180,95,890,"""The Gu"" red shirt XML tag t-shirt (Black) XL",890,6,90,10/10/2020,1,17,10/10/2020 7:00
1067,4,10/9/2020,7,2,10/29/2020,293092,1,NULL,NULL,17,10/10/2020 7:00,4181,98,1759,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1759,6,96,10/10/2020,1,17,10/10/2020 7:00
1068,7,10/9/2020,2,2,10/29/2020,BC0280982,1,NULL,NULL,17,10/10/2020 7:00,4182,184,302,Shipping carton (Brown) 305x305x305mm,302,7,47.5,10/10/2020,1,17,10/10/2020 7:00
1068,7,10/9/2020,2,2,10/29/2020,BC0280982,1,NULL,NULL,17,10/10/2020 7:00,4183,193,1145,Black and orange glass with care despatch tape 48mmx75m,1145,7,38.4,10/10/2020,1,17,10/10/2020 7:00
1068,7,10/9/2020,2,2,10/29/2020,BC0280982,1,NULL,NULL,17,10/10/2020 7:00,4184,204,1283,Tape dispenser (Red),1283,7,170,10/10/2020,1,17,10/10/2020 7:00
1069,4,10/10/2020,7,2,10/30/2020,293092,1,NULL,NULL,20,10/13/2020 7:00,4185,77,1671,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1671,6,84,10/13/2020,1,20,10/13/2020 7:00
1069,4,10/10/2020,7,2,10/30/2020,293092,1,NULL,NULL,20,10/13/2020 7:00,4186,78,1774,"""The Gu"" red shirt XML tag t-shirt (White) XS",1774,6,84,10/13/2020,1,20,10/13/2020 7:00
1069,4,10/10/2020,7,2,10/30/2020,293092,1,NULL,NULL,20,10/13/2020 7:00,4187,80,781,"""The Gu"" red shirt XML tag t-shirt (White) M",781,6,84,10/13/2020,1,20,10/13/2020 7:00
